IN-USE  SSID          MODE   CHAN  RATE        SIGNAL  BARS  SECURITY    
*       WSU Guest     Infra  36    195 Mbit/s  65      ▂▄▆_  --          
        eduroam       Infra  36    195 Mbit/s  65      ▂▄▆_  WPA2 802.1X 
        to5           Infra  36    195 Mbit/s  65      ▂▄▆_  WPA2 802.1X 
        WSU Wireless  Infra  6     195 Mbit/s  64      ▂▄▆_  WPA2 802.1X 
        eduroam       Infra  6     195 Mbit/s  64      ▂▄▆_  WPA2 802.1X 
        WSU Guest     Infra  6     195 Mbit/s  64      ▂▄▆_  --          
        WSU Wireless  Infra  36    195 Mbit/s  64      ▂▄▆_  WPA2 802.1X 
        eduroam       Infra  11    195 Mbit/s  59      ▂▄▆_  WPA2 802.1X 
        WSU Guest     Infra  11    195 Mbit/s  59      ▂▄▆_  --          
        WSU Wireless  Infra  11    195 Mbit/s  57      ▂▄▆_  WPA2 802.1X 
        WSU Wireless  Infra  44    195 Mbit/s  57      ▂▄▆_  WPA2 802.1X 
        eduroam       Infra  44    195 Mbit/s  57      ▂▄▆_  WPA2 802.1X 
        to5           Infra  44    195 Mbit/s  57      ▂▄▆_  WPA2 802.1X 
        WSU Guest     Infra  44    195 Mbit/s  57      ▂▄▆_  --          
        eduroam       Infra  60    195 Mbit/s  54      ▂▄__  WPA2 802.1X 
        WSU Wireless  Infra  60    195 Mbit/s  54      ▂▄__  WPA2 802.1X 
        to5           Infra  60    195 Mbit/s  54      ▂▄__  WPA2 802.1X 
        WSU Guest     Infra  60    195 Mbit/s  54      ▂▄__  --          
        WSU Wireless  Infra  64    195 Mbit/s  54      ▂▄__  WPA2 802.1X 
        to5           Infra  64    195 Mbit/s  54      ▂▄__  WPA2 802.1X 
        WSU Guest     Infra  64    195 Mbit/s  54      ▂▄__  --          
        WSU Guest     Infra  11    195 Mbit/s  52      ▂▄__  --          
        eduroam       Infra  11    195 Mbit/s  50      ▂▄__  WPA2 802.1X 
        WSU Wireless  Infra  11    195 Mbit/s  49      ▂▄__  WPA2 802.1X 
        WSU Guest     Infra  48    195 Mbit/s  44      ▂▄__  --          
        WSU Guest     Infra  1     195 Mbit/s  40      ▂▄__  --          
        eduroam       Infra  56    195 Mbit/s  40      ▂▄__  WPA2 802.1X 
        to5           Infra  56    195 Mbit/s  40      ▂▄__  WPA2 802.1X 
        WSU Guest     Infra  56    195 Mbit/s  40      ▂▄__  --          
        WSU Wireless  Infra  1     195 Mbit/s  39      ▂▄__  WPA2 802.1X 
        WSU Wireless  Infra  6     195 Mbit/s  39      ▂▄__  WPA2 802.1X 
        to5           Infra  48    195 Mbit/s  39      ▂▄__  WPA2 802.1X 
        WSU Wireless  Infra  48    195 Mbit/s  39      ▂▄__  WPA2 802.1X 
        eduroam       Infra  48    195 Mbit/s  39      ▂▄__  WPA2 802.1X 
        WSU Wireless  Infra  56    195 Mbit/s  39      ▂▄__  WPA2 802.1X 
        eduroam       Infra  6     195 Mbit/s  35      ▂▄__  WPA2 802.1X 
        WSU Wireless  Infra  6     195 Mbit/s  34      ▂▄__  WPA2 802.1X 
        WSU Guest     Infra  1     195 Mbit/s  32      ▂▄__  --          
        WSU Guest     Infra  6     195 Mbit/s  32      ▂▄__  --          
        WSU Wireless  Infra  11    195 Mbit/s  29      ▂___  WPA2 802.1X 
        eduroam       Infra  40    195 Mbit/s  29      ▂___  WPA2 802.1X 
        WSU Wireless  Infra  120   195 Mbit/s  29      ▂___  WPA2 802.1X 
        eduroam       Infra  120   195 Mbit/s  29      ▂___  WPA2 802.1X 
        to5           Infra  120   195 Mbit/s  29      ▂___  WPA2 802.1X 
        eduroam       Infra  11    195 Mbit/s  27      ▂___  WPA2 802.1X 
        WSU Guest     Infra  11    195 Mbit/s  27      ▂___  --          
        eduroam       Infra  36    195 Mbit/s  27      ▂___  WPA2 802.1X 
        WSU Wireless  Infra  40    195 Mbit/s  27      ▂___  WPA2 802.1X 
        WSU Guest     Infra  120   195 Mbit/s  27      ▂___  --          
        WSU Wireless  Infra  1     195 Mbit/s  25      ▂___  WPA2 802.1X 
        eduroam       Infra  11    195 Mbit/s  25      ▂___  WPA2 802.1X 
        to5           Infra  36    195 Mbit/s  25      ▂___  WPA2 802.1X 
        WSU Guest     Infra  36    195 Mbit/s  25      ▂___  --          
        to5           Infra  40    195 Mbit/s  25      ▂___  WPA2 802.1X 
        to5           Infra  0     195 Mbit/s  25      ▂___  WPA2 802.1X 
        WSU Wireless  Infra  0     195 Mbit/s  24      ▂___  WPA2 802.1X 
        eduroam       Infra  0     195 Mbit/s  24      ▂___  WPA2 802.1X 
        WSU Guest     Infra  0     195 Mbit/s  24      ▂___  --          
        WSU Wireless  Infra  136   195 Mbit/s  20      ▂___  WPA2 802.1X 
        eduroam       Infra  136   195 Mbit/s  20      ▂___  WPA2 802.1X 
        to5           Infra  100   195 Mbit/s  19      ▂___  WPA2 802.1X 
        WSU Guest     Infra  100   195 Mbit/s  19      ▂___  --          
        to5           Infra  136   195 Mbit/s  19      ▂___  WPA2 802.1X 
        WSU Guest     Infra  136   195 Mbit/s  19      ▂___  --          
        to5           Infra  52    195 Mbit/s  17      ▂___  WPA2 802.1X 
        WSU Wireless  Infra  100   195 Mbit/s  17      ▂___  WPA2 802.1X 
        eduroam       Infra  100   195 Mbit/s  17      ▂___  WPA2 802.1X 
        eduroam       Infra  40    195 Mbit/s  14      ▂___  WPA2 802.1X 
        WSU Guest     Infra  52    195 Mbit/s  12      ▂___  --          
        WSU Wireless  Infra  52    195 Mbit/s  10      ▂___  WPA2 802.1X 
