IN-USE  SSID            MODE    CHAN  RATE        SIGNAL  BARS  SECURITY    
*       WSU Guest       Infra   36    195 Mbit/s  67      ▂▄▆_  --          
        WSU Guest       Infra   1     195 Mbit/s  64      ▂▄▆_  --          
        WSU Wireless    Infra   1     195 Mbit/s  62      ▂▄▆_  WPA2 802.1X 
        eduroam         Infra   1     195 Mbit/s  62      ▂▄▆_  WPA2 802.1X 
        WSU Wireless    Infra   6     195 Mbit/s  60      ▂▄▆_  WPA2 802.1X 
        eduroam         Infra   6     195 Mbit/s  60      ▂▄▆_  WPA2 802.1X 
        WSU Guest       Infra   6     195 Mbit/s  59      ▂▄▆_  --          
        WSU Wireless    Infra   36    195 Mbit/s  57      ▂▄▆_  WPA2 802.1X 
        eduroam         Infra   36    195 Mbit/s  57      ▂▄▆_  WPA2 802.1X 
        eduroam         Infra   11    195 Mbit/s  47      ▂▄__  WPA2 802.1X 
        WSU Wireless    Infra   11    195 Mbit/s  44      ▂▄__  WPA2 802.1X 
        WSU Wireless    Infra   11    195 Mbit/s  42      ▂▄__  WPA2 802.1X 
        eduroam         Infra   11    195 Mbit/s  42      ▂▄__  WPA2 802.1X 
        WSU Guest       Infra   11    195 Mbit/s  42      ▂▄__  --          
        WSU Guest       Infra   11    195 Mbit/s  40      ▂▄__  --          
        WSU Guest       Infra   11    195 Mbit/s  35      ▂▄__  --          
        WSU Guest       Infra   1     195 Mbit/s  34      ▂▄__  --          
        eduroam         Infra   1     195 Mbit/s  34      ▂▄__  WPA2 802.1X 
        WSU Wireless    Infra   1     195 Mbit/s  34      ▂▄__  WPA2 802.1X 
        eduroam         Infra   11    195 Mbit/s  34      ▂▄__  WPA2 802.1X 
        WSU Wireless    Infra   11    195 Mbit/s  34      ▂▄__  WPA2 802.1X 
        WSU Guest       Infra   40    130 Mbit/s  34      ▂▄__  --          
        eduroam         Infra   40    130 Mbit/s  34      ▂▄__  WPA2 802.1X 
        WSU Wireless    Infra   40    130 Mbit/s  34      ▂▄__  WPA2 802.1X 
        WSU Guest       Infra   100   195 Mbit/s  34      ▂▄__  --          
        WSU Wireless    Infra   100   195 Mbit/s  34      ▂▄__  WPA2 802.1X 
        eduroam         Infra   100   195 Mbit/s  34      ▂▄__  WPA2 802.1X 
        HP85FD0F        Ad-Hoc  10    11 Mbit/s   32      ▂▄__  --          
        eduroam         Infra   132   195 Mbit/s  32      ▂▄__  WPA2 802.1X 
        WSU Wireless    Infra   132   195 Mbit/s  30      ▂___  WPA2 802.1X 
        WSU Guest       Infra   132   195 Mbit/s  30      ▂___  --          
        WSU Wireless    Infra   6     195 Mbit/s  29      ▂___  WPA2 802.1X 
        WSU Wireless    Infra   1     195 Mbit/s  27      ▂___  WPA2 802.1X 
        WSU Guest       Infra   1     195 Mbit/s  27      ▂___  --          
        eduroam         Infra   6     195 Mbit/s  27      ▂___  WPA2 802.1X 
        HP071C88        Ad-Hoc  10    11 Mbit/s   27      ▂___  --          
        --              Infra   11    130 Mbit/s  27      ▂___  WPA2        
        eduroam         Infra   1     195 Mbit/s  25      ▂___  WPA2 802.1X 
        eduroam         Infra   1     195 Mbit/s  25      ▂___  WPA2 802.1X 
        WSU Guest       Infra   6     195 Mbit/s  25      ▂___  --          
        TroposNetworks  Infra   11    130 Mbit/s  24      ▂___  WPA2        
        WSU Guest       Infra   1     195 Mbit/s  22      ▂___  --          
        eduroam         Infra   11    130 Mbit/s  22      ▂___  WPA2 802.1X 
        WSU Guest       Infra   11    130 Mbit/s  22      ▂___  --          
        eduroam         Infra   1     195 Mbit/s  20      ▂___  WPA2 802.1X 
        WSU Guest       Infra   1     195 Mbit/s  20      ▂___  --          
        WSU Wireless    Infra   1     130 Mbit/s  20      ▂___  WPA2 802.1X 
        --              Infra   1     130 Mbit/s  20      ▂___  WPA2        
        --              Infra   11    130 Mbit/s  20      ▂___  WPA2        
        --              Infra   11    130 Mbit/s  20      ▂___  WPA2        
        WSU Wireless    Infra   44    195 Mbit/s  20      ▂___  WPA2 802.1X 
        WSU Guest       Infra   44    195 Mbit/s  20      ▂___  --          
        eduroam         Infra   161   195 Mbit/s  20      ▂___  WPA2 802.1X 
        eduroam         Infra   1     130 Mbit/s  19      ▂___  WPA2 802.1X 
        WSU Guest       Infra   1     130 Mbit/s  19      ▂___  --          
        eduroam         Infra   44    195 Mbit/s  19      ▂___  WPA2 802.1X 
        WSU Guest       Infra   161   195 Mbit/s  19      ▂___  --          
        WSU Wireless    Infra   161   195 Mbit/s  19      ▂___  WPA2 802.1X 
        WSU Guest       Infra   44    130 Mbit/s  17      ▂___  --          
        WSU Guest       Infra   161   130 Mbit/s  14      ▂___  --          
